chunk_id,rule_id,domain,source_file,error_code,historical_context,severity,difficulty,text
11,cse-tr-397-99:CADENCE_GRAVITY:11,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"In some constraints, we refer to the root of a chord; this is for notational convenience. CSP Music Variable Chord Domain attributes Key Quality (major, minor) Function (Roman numeral notation) Cadence (Boolean) Index (integer) Root Inversion Chord (array of integers that comprise the chord) Constraint -propagation functions 1. Vi+1.key = (V i.key + 7)MOD(12) 6."
12,cse-tr-397-99:CADENCE_GRAVITY:12,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The attributed domains are in the spirit of a Multi -Attribute Domain (MAD) CSP, but since the domains are treated as discrete collections of attributes, they are modeled as a traditional CSP. Of the attributes, the first three ( key, quality, function ) are directly related to music, whereas the last two ( cadence, index) are particular to our algorithm. --- Page 8 --- 8 The first three constraints (see “Constraint -propagation functions” in Table 1) establish the key of the piece."
13,cse-tr-397-99:DOMINANT_FUNCTION:13,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,DOMINANT_FUNCTION,Common Practice Period and tonal theory,Stylistic,intermediate,"With this information, the algorithm determines the tonal centers for the entire piece. The last three constraints, or modulation constraints , contradict themselves, saying that at any time a piece simultaneously stays in the same key, modulates to the dominant, and modulates to the subdominant. This is because there are no restrictions on where modulations can occur."
14,cse-tr-397-99:CADENCE_GRAVITY:14,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Based on the assumptions in Section 2.3.1, it determines the key of the piece. Next, it searches the chords for cadential patterns, creating a cadence list. This list is used to find modulations."
15,cse-tr-397-99:CADENCE_GRAVITY:15,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"This list is used to find modulations. Cadences are central to our algorithm, as they form the basis for identifying tonal centers. In our notation, a “cadence in C” means that the root of the cadence’s last chord is C."
16,cse-tr-397-99:CADENCE_GRAVITY:16,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Cadences are central to our algorithm, as they form the basis for identifying tonal centers. In our notation, a “cadence in C” means that the root of the cadence’s last chord is C. This is also the chord used to identify the cadence , allowing us to represent cadences as a subset of the set of chords."
17,cse-tr-397-99:CADENCE_GRAVITY:17,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"In our notation, a “cadence in C” means that the root of the cadence’s last chord is C. This is also the chord used to identify the cadence , allowing us to represent cadences as a subset of the set of chords. This subset is know n as the cadence space, Z, where Z ⊂ V: it comprises a distinguished set of variables, such that each Z j ∈ Z is the last chord of the cadence."
18,cse-tr-397-99:CADENCE_GRAVITY:18,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"This is also the chord used to identify the cadence , allowing us to represent cadences as a subset of the set of chords. This subset is know n as the cadence space, Z, where Z ⊂ V: it comprises a distinguished set of variables, such that each Z j ∈ Z is the last chord of the cadence. Further, for simplicity, we number each Z j sequentially."
19,cse-tr-397-99:CADENCE_GRAVITY:19,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Note, however, that a set of chords (V i) of arbitrary nu mber can exist between Z j and Z j+1. The "" cadence"" domain attribute indicates if the chord is a member of the cadence space. The "" index"" domain attribute is simply the number assigned to the chord as it read from the input file."
20,cse-tr-397-99:CADENCE_GRAVITY:20,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The "" index"" domain attribute is simply the number assigned to the chord as it read from the input file. Figure 7shows the relationship between chord space and cadence space. Cadence space : Z = {z1 ..."
21,cse-tr-397-99:CADENCE_GRAVITY:21,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,Figure 7shows the relationship between chord space and cadence space. Cadence space : Z = {z1 ... zm} Chord space : V = {v 1 ...
22,cse-tr-397-99:CADENCE_GRAVITY:22,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"zm} Chord space : V = {v 1 ... Chord space It is important to note that a cadence chord (shaded) differs from a non -cadence chord only by the value of a Boolean attribute, denoted by the ""Cadence"" attribute in Table 1. Cadence chords simply have this flag set to TRUE."
23,cse-tr-397-99:CADENCE_GRAVITY:23,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Chord space It is important to note that a cadence chord (shaded) differs from a non -cadence chord only by the value of a Boolean attribute, denoted by the ""Cadence"" attribute in Table 1. Cadence chords simply have this flag set to TRUE. The reason for creating two separate chord spaces is that some of our algori thms search the chord space, while others search the cadence space."
24,cse-tr-397-99:CADENCE_GRAVITY:24,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Cadence chords simply have this flag set to TRUE. The reason for creating two separate chord spaces is that some of our algori thms search the chord space, while others search the cadence space. Throughout this paper, ""Z k"" refers to a chord in cadence space, whereas ""Vi"" refers to a chord in chord space."
25,cse-tr-397-99:CADENCE_GRAVITY:25,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The reason for creating two separate chord spaces is that some of our algori thms search the chord space, while others search the cadence space. Throughout this paper, ""Z k"" refers to a chord in cadence space, whereas ""Vi"" refers to a chord in chord space. Using the cadences as signposts for tonal centers, the algorithm determines w here modulations occur."
26,cse-tr-397-99:CADENCE_GRAVITY:26,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Throughout this paper, ""Z k"" refers to a chord in cadence space, whereas ""Vi"" refers to a chord in chord space. Using the cadences as signposts for tonal centers, the algorithm determines w here modulations occur. With the tonal centers’ locations defined, the preconditions for the constraints given in Table 1 come into effect."
27,cse-tr-397-99:DOMINANT_FUNCTION:27,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,DOMINANT_FUNCTION,Common Practice Period and tonal theory,Stylistic,intermediate,"For each chord within a given tonal center, the active constraint is the one that specifie s no modulation. (Constraint C 4 in Table 1.) At a modulation, the dominant or subdominant modulation constraint (C 5 or C 6) is active. The domain of each chord is searched for the elements that satisfy the constraints of key and qu ality."
28,cse-tr-397-99:CADENCE_GRAVITY:28,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The overall algorithm is given in Figure 8. In all of our pseudo -code listings, V and Z are represented by the variables Chord_List and Cadence_List , respectively. --- Page 11 --- 11 Figure 8."
29,cse-tr-397-99:CADENCE_GRAVITY:29,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,Create Chord_List from input file 2. append V 1 to Cadence_List 7. append V i to Cadence_List 12.
30,cse-tr-397-99:CADENCE_GRAVITY:30,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"append V 1 to Cadence_List 7. append V i to Cadence_List 12. mod_index ← MODULATE(Z k,Zk+1) 15."
31,cse-tr-397-99:CADENCE_GRAVITY:31,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"(Note that all the columns to the ri ght of “function ” have the same value. These are properties of the chord itself and do not change, regardless of the analysis.) Initially, all the cadence fields are set to FALSE. The index field is set by a counter that increments as each chord is read f rom the input file."
32,cse-tr-397-99:CADENCE_GRAVITY:32,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The index field is set by a counter that increments as each chord is read f rom the input file. It is important to store this value, so that we can access a particular Z i from the Cadence Space. (i.e., to determine the corresponding V i.) Applied chords make it possible to have domain elements with the same key and quality, but dif ferent functions, as functions depend on the situation in which they are found."
33,cse-tr-397-99:CADENCE_GRAVITY:33,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"lower V i.chord[j] by an octave 12. lower V i.chord[j] by an octave Chord Domain Attributes Vi Key Quality Function Cadence Index Root Inversion Chord νi,1 C Maj I FALSE i 0 2 [60 64 67] ν i,2 C#/Db Maj nat. VII FALSE i 0 2 [60 64 67] ν i,3 D Maj nat."
34,cse-tr-397-99:CADENCE_GRAVITY:34,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"(Note that the triad itself has a key and quality, which are not to be co nfused with the key and quality of a tonal center to which the chord belongs.) The key area to which the chord belongs determines a chord's harmonic function. 3.1.3 IS_CADENCE(V i): line 8 of overall algorithm Creating the cadence list requires identifying every cadential structure in the piece. The cadence -finding algorithm searches for three types of cadences: I -V-I, II-V-I, and IV -V-I."
35,cse-tr-397-99:CADENCE_GRAVITY:35,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"3.1.3 IS_CADENCE(V i): line 8 of overall algorithm Creating the cadence list requires identifying every cadential structure in the piece. The cadence -finding algorithm searches for three types of cadences: I -V-I, II-V-I, and IV -V-I. Plagal and half cadences (I -IV-I and V-I, respectively) are not included because they are weaker indicators of tonal change."
36,cse-tr-397-99:CADENCE_GRAVITY:36,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The cadence -finding algorithm searches for three types of cadences: I -V-I, II-V-I, and IV -V-I. Plagal and half cadences (I -IV-I and V-I, respectively) are not included because they are weaker indicators of tonal change. IS_CADENCE(V i) algorithm."
37,cse-tr-397-99:CADENCE_GRAVITY:37,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Plagal and half cadences (I -IV-I and V-I, respectively) are not included because they are weaker indicators of tonal change. IS_CADENCE(V i) algorithm. The elaboration variable (lines 1, 4, and 9) allows for elaboration of the dominant in the cadences."
38,cse-tr-397-99:CADENCE_GRAVITY:38,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"IS_CADENCE(V i) algorithm. The elaboration variable (lines 1, 4, and 9) allows for elaboration of the dominant in the cadences. For example, this means that I-V-V7-I, as well as I-V-I, are both perfect authentic cadences."
39,cse-tr-397-99:CADENCE_GRAVITY:39,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The elaboration variable (lines 1, 4, and 9) allows for elaboration of the dominant in the cadences. For example, this means that I-V-V7-I, as well as I-V-I, are both perfect authentic cadences. Setting elaboration ← 2 (line 1) is a value, determined experimentally, that identifies elaborated dominants in cadences, but does not include lengthy patterns."
40,cse-tr-397-99:CADENCE_GRAVITY:40,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"For example, this means that I-V-V7-I, as well as I-V-I, are both perfect authentic cadences. Setting elaboration ← 2 (line 1) is a value, determined experimentally, that identifies elaborated dominants in cadences, but does not include lengthy patterns. For example, if elaboration ← 4, then the sequence I-V-V- V-V-I would be a cadence, but harmonic ally it is unlikely that this is the case."
41,cse-tr-397-99:CADENCE_GRAVITY:41,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Setting elaboration ← 2 (line 1) is a value, determined experimentally, that identifies elaborated dominants in cadences, but does not include lengthy patterns. For example, if elaboration ← 4, then the sequence I-V-V- V-V-I would be a cadence, but harmonic ally it is unlikely that this is the case. Line 3 checks the previous chord in the list for a possible V-I relationship."
42,cse-tr-397-99:CADENCE_GRAVITY:42,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Line 3 checks the previous chord in the list for a possible V-I relationship. After allowing for elaboration of the dominant (lines 4 -8), it checks the preceding chord in the list; if the root of this chord is a II, IV, or V in relation to the original chord (Vi), then the cadence is appended to Z. Z is stored as an ordered list; this is required for the algorithm to function properly."
43,cse-tr-397-99:CADENCE_GRAVITY:43,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Since the list of chords is from which Z is created is ordered, Z does not requi re sorting. The resulting list Z of cadence chords, Z ⊂ V, gives the possibilities for the tonal centers’ locations within the piece, with a modulation possible between any two adjacent cadences in different keys. The relationship between the number of ca dences and n, the number of chords, is not unique; there are no hard and fast rules about where cadences occur, with the exception of the end of a piece."
44,cse-tr-397-99:CADENCE_GRAVITY:44,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The resulting list Z of cadence chords, Z ⊂ V, gives the possibilities for the tonal centers’ locations within the piece, with a modulation possible between any two adjacent cadences in different keys. The relationship between the number of ca dences and n, the number of chords, is not unique; there are no hard and fast rules about where cadences occur, with the exception of the end of a piece. When the cadence -identification algorithm finishes, the list contains many ‘false’ cadences, whose roo t motions fit the cadence pattern matching, but are not true cadences in their harmonic function."
45,cse-tr-397-99:CADENCE_GRAVITY:45,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"The relationship between the number of ca dences and n, the number of chords, is not unique; there are no hard and fast rules about where cadences occur, with the exception of the end of a piece. When the cadence -identification algorithm finishes, the list contains many ‘false’ cadences, whose roo t motions fit the cadence pattern matching, but are not true cadences in their harmonic function. The following example shows all the cadences found in a chorale by Samuel Scheidt ( Von Himmel Hoch (2)."
46,cse-tr-397-99:CADENCE_GRAVITY:46,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"When the cadence -identification algorithm finishes, the list contains many ‘false’ cadences, whose roo t motions fit the cadence pattern matching, but are not true cadences in their harmonic function. The following example shows all the cadences found in a chorale by Samuel Scheidt ( Von Himmel Hoch (2). if ((V j.root+7)MOD(12) = V i.root) AND (j > 0) 4."
47,cse-tr-397-99:LEADING_TONE_UNRESOLVED:47,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,LEADING_TONE_UNRESOLVED,Common Practice Period and tonal theory,Stylistic,intermediate,"return FALSE --- Page 14 --- 14 1) II-V-I in F2) IV-V-I in G3) II-V-I in C 4) I-V-I in C 5) II-V-I in G 6) I-V-I in C7) II-V-I in C Figure 11. False cadences are accepted or rejected based on the circle of fifths (e.g., a cadence in D cannot follow a cadence in C), or by a heuristic that decides how well the cadence fits the key it suggests. For example, a G - major cadence whose chords contain no leading tones (F#) is considered much weaker than one that does contain leading tones."
48,cse-tr-397-99:LEADING_TONE_UNRESOLVED:48,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,LEADING_TONE_UNRESOLVED,Common Practice Period and tonal theory,Stylistic,intermediate,"False cadences are accepted or rejected based on the circle of fifths (e.g., a cadence in D cannot follow a cadence in C), or by a heuristic that decides how well the cadence fits the key it suggests. For example, a G - major cadence whose chords contain no leading tones (F#) is considered much weaker than one that does contain leading tones. In the case of overlapping cadences, this heuristic decides which is the false cadence."
49,cse-tr-397-99:LEADING_TONE_UNRESOLVED:49,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,LEADING_TONE_UNRESOLVED,Common Practice Period and tonal theory,Stylistic,intermediate,"For example, a G - major cadence whose chords contain no leading tones (F#) is considered much weaker than one that does contain leading tones. In the case of overlapping cadences, this heuristic decides which is the false cadence. The criteria for elimination is the number of non-harmonic tones (NHTs), relative to the keys of the cadences, are present in the chords; the cadence whose key has the most NHTs is eliminated."
50,cse-tr-397-99:CADENCE_GRAVITY:50,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"In the case of overlapping cadences, this heuristic decides which is the false cadence. The criteria for elimination is the number of non-harmonic tones (NHTs), relative to the keys of the cadences, are present in the chords; the cadence whose key has the most NHTs is eliminated. Figure 12 shows an example of a D major cadence overlapping a G major cadence."
51,cse-tr-397-99:LEADING_TONE_UNRESOLVED:51,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,LEADING_TONE_UNRESOLVED,Common Practice Period and tonal theory,Stylistic,intermediate,"The criteria for elimination is the number of non-harmonic tones (NHTs), relative to the keys of the cadences, are present in the chords; the cadence whose key has the most NHTs is eliminated. Figure 12 shows an example of a D major cadence overlapping a G major cadence. The G major cadence is chosen in this case, because the F# in the tenor voice of its second chord is a leading tone for G major."
52,cse-tr-397-99:LEADING_TONE_UNRESOLVED:52,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,LEADING_TONE_UNRESOLVED,Common Practice Period and tonal theory,Stylistic,intermediate,"Figure 12 shows an example of a D major cadence overlapping a G major cadence. The G major cadence is chosen in this case, because the F# in the tenor voice of its second chord is a leading tone for G major. In the case of the D major cadence , its second chord has a C natural i n the soprano voice, which is not a leading tone to D major."
53,cse-tr-397-99:LEADING_TONE_UNRESOLVED:53,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,LEADING_TONE_UNRESOLVED,Common Practice Period and tonal theory,Stylistic,intermediate,"The G major cadence is chosen in this case, because the F# in the tenor voice of its second chord is a leading tone for G major. In the case of the D major cadence , its second chord has a C natural i n the soprano voice, which is not a leading tone to D major. Since the preparation of the D major chord is weaker than the Cadence in D Major IV V I ii V I Cadence in G Major --- Page 15 --- 15 preparation of the G major chord, the latter cadence is chosen as the correct one, and the former is discarded."
54,cse-tr-397-99:LEADING_TONE_UNRESOLVED:54,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,LEADING_TONE_UNRESOLVED,Common Practice Period and tonal theory,Stylistic,intermediate,"In the case of the D major cadence , its second chord has a C natural i n the soprano voice, which is not a leading tone to D major. Since the preparation of the D major chord is weaker than the Cadence in D Major IV V I ii V I Cadence in G Major --- Page 15 --- 15 preparation of the G major chord, the latter cadence is chosen as the correct one, and the former is discarded. A situation in which overlapping cadences are not resolved is when both cadences are in the same key and share only one chord."
55,cse-tr-397-99:CADENCE_GRAVITY:55,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Since the preparation of the D major chord is weaker than the Cadence in D Major IV V I ii V I Cadence in G Major --- Page 15 --- 15 preparation of the G major chord, the latter cadence is chosen as the correct one, and the former is discarded. A situation in which overlapping cadences are not resolved is when both cadences are in the same key and share only one chord. Thus, a II -V-I and a I -V-I may overlap (i.e., II -V-{I}-V-I) if the roots of the I chords are the same."
56,cse-tr-397-99:CADENCE_GRAVITY:56,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Thus, a II -V-I and a I -V-I may overlap (i.e., II -V-{I}-V-I) if the roots of the I chords are the same. In this case, both cadences are added to the ca dence space. Another criterion for cadence elimination is lack of proper voice leading."
57,cse-tr-397-99:CADENCE_GRAVITY:57,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"In this case, both cadences are added to the ca dence space. Another criterion for cadence elimination is lack of proper voice leading. Cadences are strengthened harmonically by contrary motion between the soprano and bass and by stepwise motion in the soprano voice (Aldwell and Schacht er 1978) ."
58,cse-tr-397-99:CADENCE_GRAVITY:58,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,Another criterion for cadence elimination is lack of proper voice leading. Cadences are strengthened harmonically by contrary motion between the soprano and bass and by stepwise motion in the soprano voice (Aldwell and Schacht er 1978) . We define the latter only between the last two chords of a cadence.
59,cse-tr-397-99:CADENCE_GRAVITY:59,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Cadences are strengthened harmonically by contrary motion between the soprano and bass and by stepwise motion in the soprano voice (Aldwell and Schacht er 1978) . We define the latter only between the last two chords of a cadence. In Figure 12, the cadence in D major does not have stepwise motion in the soprano voice in its last two chords."
60,cse-tr-397-99:CADENCE_GRAVITY:60,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"We define the latter only between the last two chords of a cadence. In Figure 12, the cadence in D major does not have stepwise motion in the soprano voice in its last two chords. Cadences that lack both contrary motio n and stepwise soprano motion are removed, as it is unlikely that they function as cadences in the piece."
61,cse-tr-397-99:CADENCE_GRAVITY:61,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"In Figure 12, the cadence in D major does not have stepwise motion in the soprano voice in its last two chords. Cadences that lack both contrary motio n and stepwise soprano motion are removed, as it is unlikely that they function as cadences in the piece. Figure 13 shows the cadences that remain in Von Himmel Hoch (2) after eliminating false cadences."
62,cse-tr-397-99:CADENCE_GRAVITY:62,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Cadences that lack both contrary motio n and stepwise soprano motion are removed, as it is unlikely that they function as cadences in the piece. Figure 13 shows the cadences that remain in Von Himmel Hoch (2) after eliminating false cadences. 3) II-V-I in C 5) II-V-I in G 6) I-V-I in C7) II-V-I in C Figure 13."
63,cse-tr-397-99:CADENCE_GRAVITY:63,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"3) II-V-I in C 5) II-V-I in G 6) I-V-I in C7) II-V-I in C Figure 13. Cadence 1 (see Figure 11) is eliminated because of the B natural in the soprano voice, which is not diatonic to the key of F. Cadence 2 is removed by the same rule."
